datetime,temperature,cloudcover,weathercode,month,day,hour,weekday,weekend,sunny,weather,crowd_level
2024-06-01 10:00:00,18.8,100,3,6,1,10,5,1,0,Overcast,0.38
2024-06-01 11:00:00,20.8,100,3,6,1,11,5,1,0,Overcast,0.43
2024-06-01 12:00:00,22.2,89,3,6,1,12,5,1,0,Overcast,0.49
2024-06-01 13:00:00,23.4,100,3,6,1,13,5,1,0,Overcast,0.54
2024-06-01 14:00:00,24.2,100,3,6,1,14,5,1,0,Overcast,0.51
2024-06-01 15:00:00,25.0,100,3,6,1,15,5,1,0,Overcast,0.55
2024-06-01 16:00:00,25.5,100,3,6,1,16,5,1,0,Overcast,0.55
2024-06-01 17:00:00,25.3,100,3,6,1,17,5,1,0,Overcast,0.54
2024-06-01 18:00:00,24.9,100,3,6,1,18,5,1,0,Overcast,0.56
2024-06-01 19:00:00,23.8,100,3,6,1,19,5,1,0,Overcast,0.53
2024-06-01 20:00:00,21.7,100,3,6,1,20,5,1,0,Overcast,0.44
2024-06-02 10:00:00,16.5,95,53,6,2,10,6,1,0,Drizzle,0.23
2024-06-02 11:00:00,17.0,95,51,6,2,11,6,1,0,Drizzle,0.28
2024-06-02 12:00:00,17.8,100,51,6,2,12,6,1,0,Drizzle,0.25
2024-06-02 13:00:00,17.7,97,51,6,2,13,6,1,0,Drizzle,0.3
2024-06-02 14:00:00,20.1,100,3,6,2,14,6,1,0,Overcast,0.49
2024-06-02 15:00:00,20.8,100,3,6,2,15,6,1,0,Overcast,0.52
2024-06-02 16:00:00,21.0,100,3,6,2,16,6,1,0,Overcast,0.49
2024-06-02 17:00:00,21.4,99,3,6,2,17,6,1,0,Overcast,0.5
2024-06-02 18:00:00,21.3,100,3,6,2,18,6,1,0,Overcast,0.5
2024-06-02 19:00:00,20.7,18,0,6,2,19,6,1,1,Clear,0.74
2024-06-02 20:00:00,20.2,31,1,6,2,20,6,1,0,Mostly Clear,0.69
2024-06-03 10:00:00,20.0,100,51,6,3,10,0,0,0,Drizzle,0.22
2024-06-03 11:00:00,21.4,99,3,6,3,11,0,0,0,Overcast,0.34
2024-06-03 12:00:00,23.0,56,51,6,3,12,0,0,0,Drizzle,0.25
2024-06-03 13:00:00,24.0,53,51,6,3,13,0,0,0,Drizzle,0.25
2024-06-03 14:00:00,25.0,87,51,6,3,14,0,0,0,Drizzle,0.28
2024-06-03 15:00:00,25.6,20,51,6,3,15,0,0,0,Drizzle,0.3
2024-06-03 16:00:00,26.1,20,1,6,3,16,0,0,0,Mostly Clear,0.7
2024-06-03 17:00:00,26.2,17,0,6,3,17,0,0,1,Clear,0.76
2024-06-03 18:00:00,26.0,1,0,6,3,18,0,0,1,Clear,0.78
2024-06-03 19:00:00,25.5,4,0,6,3,19,0,0,1,Clear,0.69
2024-06-03 20:00:00,24.1,3,0,6,3,20,0,0,1,Clear,0.71
2024-06-04 10:00:00,24.0,100,3,6,4,10,1,0,0,Overcast,0.36
2024-06-04 11:00:00,25.9,100,3,6,4,11,1,0,0,Overcast,0.41
2024-06-04 12:00:00,27.0,100,3,6,4,12,1,0,0,Overcast,0.4
2024-06-04 13:00:00,28.0,100,3,6,4,13,1,0,0,Overcast,0.48
2024-06-04 14:00:00,28.6,99,3,6,4,14,1,0,0,Overcast,0.45
2024-06-04 15:00:00,29.2,17,0,6,4,15,1,0,1,Clear,0.81
2024-06-04 16:00:00,29.0,100,3,6,4,16,1,0,0,Overcast,0.5
2024-06-04 17:00:00,28.9,100,3,6,4,17,1,0,0,Overcast,0.51
2024-06-04 18:00:00,28.5,100,3,6,4,18,1,0,0,Overcast,0.52
2024-06-04 19:00:00,27.3,100,3,6,4,19,1,0,0,Overcast,0.43
2024-06-04 20:00:00,25.4,100,3,6,4,20,1,0,0,Overcast,0.43
2024-06-05 10:00:00,20.1,100,63,6,5,10,2,0,0,Rain,0.13
2024-06-05 11:00:00,20.2,100,61,6,5,11,2,0,0,Rain,0.16
2024-06-05 12:00:00,22.2,100,51,6,5,12,2,0,0,Drizzle,0.25
2024-06-05 13:00:00,23.8,100,51,6,5,13,2,0,0,Drizzle,0.28
2024-06-05 14:00:00,22.5,100,63,6,5,14,2,0,0,Rain,0.15
2024-06-05 15:00:00,21.0,99,61,6,5,15,2,0,0,Rain,0.15
2024-06-05 16:00:00,24.1,100,3,6,5,16,2,0,0,Overcast,0.47
2024-06-05 17:00:00,24.8,100,3,6,5,17,2,0,0,Overcast,0.49
2024-06-05 18:00:00,24.6,100,51,6,5,18,2,0,0,Drizzle,0.3
2024-06-05 19:00:00,24.0,100,51,6,5,19,2,0,0,Drizzle,0.27
2024-06-05 20:00:00,23.1,100,3,6,5,20,2,0,0,Overcast,0.41
2024-06-06 10:00:00,22.1,17,51,6,6,10,3,0,0,Drizzle,0.24
2024-06-06 11:00:00,23.7,2,0,6,6,11,3,0,1,Clear,0.63
2024-06-06 12:00:00,24.9,9,0,6,6,12,3,0,1,Clear,0.67
2024-06-06 13:00:00,25.6,99,3,6,6,13,3,0,0,Overcast,0.47
2024-06-06 14:00:00,26.1,25,1,6,6,14,3,0,0,Mostly Clear,0.68
2024-06-06 15:00:00,26.6,80,3,6,6,15,3,0,0,Overcast,0.46
2024-06-06 16:00:00,22.3,58,53,6,6,16,3,0,0,Drizzle,0.27
2024-06-06 17:00:00,23.2,87,3,6,6,17,3,0,0,Overcast,0.48
2024-06-06 18:00:00,23.2,100,3,6,6,18,3,0,0,Overcast,0.45
2024-06-06 19:00:00,22.5,60,2,6,6,19,3,0,0,Partly Cloudy,0.57
2024-06-06 20:00:00,21.2,100,3,6,6,20,3,0,0,Overcast,0.37
2024-06-07 10:00:00,20.6,42,1,6,7,10,4,0,0,Mostly Clear,0.48
2024-06-07 11:00:00,20.9,33,1,6,7,11,4,0,0,Mostly Clear,0.54
2024-06-07 12:00:00,21.1,41,1,6,7,12,4,0,0,Mostly Clear,0.53
2024-06-07 13:00:00,21.9,100,3,6,7,13,4,0,0,Overcast,0.39
2024-06-07 14:00:00,21.6,71,2,6,7,14,4,0,0,Partly Cloudy,0.5
2024-06-07 15:00:00,22.0,97,3,6,7,15,4,0,0,Overcast,0.48
2024-06-07 16:00:00,21.2,93,3,6,7,16,4,0,0,Overcast,0.41
2024-06-07 17:00:00,20.6,51,2,6,7,17,4,0,0,Partly Cloudy,0.57
2024-06-07 18:00:00,21.2,23,1,6,7,18,4,0,0,Mostly Clear,0.61
2024-06-07 19:00:00,20.7,18,0,6,7,19,4,0,1,Clear,0.62
2024-06-07 20:00:00,19.3,40,1,6,7,20,4,0,0,Mostly Clear,0.57
2024-06-08 10:00:00,19.7,9,0,6,8,10,5,1,1,Clear,0.66
2024-06-08 11:00:00,20.8,58,2,6,8,11,5,1,0,Partly Cloudy,0.57
2024-06-08 12:00:00,22.0,57,2,6,8,12,5,1,0,Partly Cloudy,0.65
2024-06-08 13:00:00,23.3,94,3,6,8,13,5,1,0,Overcast,0.54
2024-06-08 14:00:00,24.0,41,1,6,8,14,5,1,0,Mostly Clear,0.77
2024-06-08 15:00:00,24.4,6,0,6,8,15,5,1,1,Clear,0.92
2024-06-08 16:00:00,24.8,22,1,6,8,16,5,1,0,Mostly Clear,0.82
2024-06-08 17:00:00,25.0,56,2,6,8,17,5,1,0,Partly Cloudy,0.71
2024-06-08 18:00:00,25.3,54,2,6,8,18,5,1,0,Partly Cloudy,0.74
2024-06-08 19:00:00,23.7,14,0,6,8,19,5,1,1,Clear,0.8
2024-06-08 20:00:00,21.9,4,0,6,8,20,5,1,1,Clear,0.78
2024-06-09 10:00:00,17.7,20,51,6,9,10,6,1,0,Drizzle,0.25
2024-06-09 11:00:00,19.1,45,1,6,9,11,6,1,0,Mostly Clear,0.64
2024-06-09 12:00:00,20.4,28,1,6,9,12,6,1,0,Mostly Clear,0.68
2024-06-09 13:00:00,21.4,68,2,6,9,13,6,1,0,Partly Cloudy,0.62
2024-06-09 14:00:00,22.0,80,3,6,9,14,6,1,0,Overcast,0.53
2024-06-09 15:00:00,22.5,43,1,6,9,15,6,1,0,Mostly Clear,0.82
2024-06-09 16:00:00,22.6,29,1,6,9,16,6,1,0,Mostly Clear,0.8
2024-06-09 17:00:00,22.6,31,1,6,9,17,6,1,0,Mostly Clear,0.81
2024-06-09 18:00:00,21.8,48,1,6,9,18,6,1,0,Mostly Clear,0.74
2024-06-09 19:00:00,21.0,99,3,6,9,19,6,1,0,Overcast,0.47
2024-06-09 20:00:00,19.8,96,3,6,9,20,6,1,0,Overcast,0.48
2024-06-10 10:00:00,16.9,69,2,6,10,10,0,0,0,Partly Cloudy,0.39
2024-06-10 11:00:00,18.4,100,3,6,10,11,0,0,0,Overcast,0.35
2024-06-10 12:00:00,17.9,100,3,6,10,12,0,0,0,Overcast,0.36
2024-06-10 13:00:00,18.1,100,3,6,10,13,0,0,0,Overcast,0.42
2024-06-10 14:00:00,18.1,100,3,6,10,14,0,0,0,Overcast,0.4
2024-06-10 15:00:00,17.8,100,3,6,10,15,0,0,0,Overcast,0.45
2024-06-10 16:00:00,17.7,49,1,6,10,16,0,0,0,Mostly Clear,0.61
2024-06-10 17:00:00,17.2,7,0,6,10,17,0,0,1,Clear,0.72
2024-06-10 18:00:00,17.7,18,0,6,10,18,0,0,1,Clear,0.7
2024-06-10 19:00:00,17.2,21,1,6,10,19,0,0,0,Mostly Clear,0.57
2024-06-10 20:00:00,16.1,67,2,6,10,20,0,0,0,Partly Cloudy,0.45
2024-06-11 10:00:00,15.6,70,2,6,11,10,1,0,0,Partly Cloudy,0.38
2024-06-11 11:00:00,17.0,75,2,6,11,11,1,0,0,Partly Cloudy,0.48
2024-06-11 12:00:00,18.2,82,3,6,11,12,1,0,0,Overcast,0.38
2024-06-11 13:00:00,19.2,85,3,6,11,13,1,0,0,Overcast,0.41
2024-06-11 14:00:00,20.0,35,1,6,11,14,1,0,0,Mostly Clear,0.61
2024-06-11 15:00:00,20.7,11,0,6,11,15,1,0,1,Clear,0.67
2024-06-11 16:00:00,20.8,44,1,6,11,16,1,0,0,Mostly Clear,0.62
