temperature,month,hour,weekend,sunny,crowd_level,weather_Clear,weather_Drizzle,weather_Mostly Clear,weather_Overcast,weather_Partly Cloudy,weather_Rain,weather_Snow
18.8,6,10,1,0,0.38,False,False,False,True,False,False,False
20.8,6,11,1,0,0.43,False,False,False,True,False,False,False
22.2,6,12,1,0,0.49,False,False,False,True,False,False,False
23.4,6,13,1,0,0.54,False,False,False,True,False,False,False
24.2,6,14,1,0,0.51,False,False,False,True,False,False,False
25.0,6,15,1,0,0.55,False,False,False,True,False,False,False
25.5,6,16,1,0,0.55,False,False,False,True,False,False,False
25.3,6,17,1,0,0.54,False,False,False,True,False,False,False
24.9,6,18,1,0,0.56,False,False,False,True,False,False,False
23.8,6,19,1,0,0.53,False,False,False,True,False,False,False
21.7,6,20,1,0,0.44,False,False,False,True,False,False,False
16.5,6,10,1,0,0.23,False,True,False,False,False,False,False
17.0,6,11,1,0,0.28,False,True,False,False,False,False,False
17.8,6,12,1,0,0.25,False,True,False,False,False,False,False
17.7,6,13,1,0,0.3,False,True,False,False,False,False,False
20.1,6,14,1,0,0.49,False,False,False,True,False,False,False
20.8,6,15,1,0,0.52,False,False,False,True,False,False,False
21.0,6,16,1,0,0.49,False,False,False,True,False,False,False
21.4,6,17,1,0,0.5,False,False,False,True,False,False,False
21.3,6,18,1,0,0.5,False,False,False,True,False,False,False
20.7,6,19,1,1,0.74,True,False,False,False,False,False,False
20.2,6,20,1,0,0.69,False,False,True,False,False,False,False
20.0,6,10,0,0,0.22,False,True,False,False,False,False,False
21.4,6,11,0,0,0.34,False,False,False,True,False,False,False
23.0,6,12,0,0,0.25,False,True,False,False,False,False,False
24.0,6,13,0,0,0.25,False,True,False,False,False,False,False
25.0,6,14,0,0,0.28,False,True,False,False,False,False,False
25.6,6,15,0,0,0.3,False,True,False,False,False,False,False
26.1,6,16,0,0,0.7,False,False,True,False,False,False,False
26.2,6,17,0,1,0.76,True,False,False,False,False,False,False
26.0,6,18,0,1,0.78,True,False,False,False,False,False,False
25.5,6,19,0,1,0.69,True,False,False,False,False,False,False
24.1,6,20,0,1,0.71,True,False,False,False,False,False,False
24.0,6,10,0,0,0.36,False,False,False,True,False,False,False
25.9,6,11,0,0,0.41,False,False,False,True,False,False,False
27.0,6,12,0,0,0.4,False,False,False,True,False,False,False
28.0,6,13,0,0,0.48,False,False,False,True,False,False,False
28.6,6,14,0,0,0.45,False,False,False,True,False,False,False
29.2,6,15,0,1,0.81,True,False,False,False,False,False,False
29.0,6,16,0,0,0.5,False,False,False,True,False,False,False
28.9,6,17,0,0,0.51,False,False,False,True,False,False,False
28.5,6,18,0,0,0.52,False,False,False,True,False,False,False
27.3,6,19,0,0,0.43,False,False,False,True,False,False,False
25.4,6,20,0,0,0.43,False,False,False,True,False,False,False
20.1,6,10,0,0,0.13,False,False,False,False,False,True,False
20.2,6,11,0,0,0.16,False,False,False,False,False,True,False
22.2,6,12,0,0,0.25,False,True,False,False,False,False,False
23.8,6,13,0,0,0.28,False,True,False,False,False,False,False
22.5,6,14,0,0,0.15,False,False,False,False,False,True,False
21.0,6,15,0,0,0.15,False,False,False,False,False,True,False
24.1,6,16,0,0,0.47,False,False,False,True,False,False,False
24.8,6,17,0,0,0.49,False,False,False,True,False,False,False
24.6,6,18,0,0,0.3,False,True,False,False,False,False,False
24.0,6,19,0,0,0.27,False,True,False,False,False,False,False
23.1,6,20,0,0,0.41,False,False,False,True,False,False,False
22.1,6,10,0,0,0.24,False,True,False,False,False,False,False
23.7,6,11,0,1,0.63,True,False,False,False,False,False,False
24.9,6,12,0,1,0.67,True,False,False,False,False,False,False
25.6,6,13,0,0,0.47,False,False,False,True,False,False,False
26.1,6,14,0,0,0.68,False,False,True,False,False,False,False
26.6,6,15,0,0,0.46,False,False,False,True,False,False,False
22.3,6,16,0,0,0.27,False,True,False,False,False,False,False
23.2,6,17,0,0,0.48,False,False,False,True,False,False,False
23.2,6,18,0,0,0.45,False,False,False,True,False,False,False
22.5,6,19,0,0,0.57,False,False,False,False,True,False,False
21.2,6,20,0,0,0.37,False,False,False,True,False,False,False
20.6,6,10,0,0,0.48,False,False,True,False,False,False,False
20.9,6,11,0,0,0.54,False,False,True,False,False,False,False
21.1,6,12,0,0,0.53,False,False,True,False,False,False,False
21.9,6,13,0,0,0.39,False,False,False,True,False,False,False
21.6,6,14,0,0,0.5,False,False,False,False,True,False,False
22.0,6,15,0,0,0.48,False,False,False,True,False,False,False
21.2,6,16,0,0,0.41,False,False,False,True,False,False,False
20.6,6,17,0,0,0.57,False,False,False,False,True,False,False
21.2,6,18,0,0,0.61,False,False,True,False,False,False,False
20.7,6,19,0,1,0.62,True,False,False,False,False,False,False
19.3,6,20,0,0,0.57,False,False,True,False,False,False,False
19.7,6,10,1,1,0.66,True,False,False,False,False,False,False
20.8,6,11,1,0,0.57,False,False,False,False,True,False,False
22.0,6,12,1,0,0.65,False,False,False,False,True,False,False
23.3,6,13,1,0,0.54,False,False,False,True,False,False,False
24.0,6,14,1,0,0.77,False,False,True,False,False,False,False
24.4,6,15,1,1,0.92,True,False,False,False,False,False,False
24.8,6,16,1,0,0.82,False,False,True,False,False,False,False
25.0,6,17,1,0,0.71,False,False,False,False,True,False,False
25.3,6,18,1,0,0.74,False,False,False,False,True,False,False
23.7,6,19,1,1,0.8,True,False,False,False,False,False,False
21.9,6,20,1,1,0.78,True,False,False,False,False,False,False
17.7,6,10,1,0,0.25,False,True,False,False,False,False,False
19.1,6,11,1,0,0.64,False,False,True,False,False,False,False
20.4,6,12,1,0,0.68,False,False,True,False,False,False,False
21.4,6,13,1,0,0.62,False,False,False,False,True,False,False
22.0,6,14,1,0,0.53,False,False,False,True,False,False,False
22.5,6,15,1,0,0.82,False,False,True,False,False,False,False
22.6,6,16,1,0,0.8,False,False,True,False,False,False,False
22.6,6,17,1,0,0.81,False,False,True,False,False,False,False
21.8,6,18,1,0,0.74,False,False,True,False,False,False,False
21.0,6,19,1,0,0.47,False,False,False,True,False,False,False
19.8,6,20,1,0,0.48,False,False,False,True,False,False,False
16.9,6,10,0,0,0.39,False,False,False,False,True,False,False
18.4,6,11,0,0,0.35,False,False,False,True,False,False,False
17.9,6,12,0,0,0.36,False,False,False,True,False,False,False
18.1,6,13,0,0,0.42,False,False,False,True,False,False,False
18.1,6,14,0,0,0.4,False,False,False,True,False,False,False
17.8,6,15,0,0,0.45,False,False,False,True,False,False,False
17.7,6,16,0,0,0.61,False,False,True,False,False,False,False
17.2,6,17,0,1,0.72,True,False,False,False,False,False,False
17.7,6,18,0,1,0.7,True,False,False,False,False,False,False
17.2,6,19,0,0,0.57,False,False,True,False,False,False,False
16.1,6,20,0,0,0.45,False,False,False,False,True,False,False
15.6,6,10,0,0,0.38,False,False,False,False,True,False,False
17.0,6,11,0,0,0.48,False,False,False,False,True,False,False
18.2,6,12,0,0,0.38,False,False,False,True,False,False,False
19.2,6,13,0,0,0.41,False,False,False,True,False,False,False
20.0,6,14,0,0,0.61,False,False,True,False,False,False,False
20.7,6,15,0,1,0.67,True,False,False,False,False,False,False
20.8,6,16,0,0,0.62,False,False,True,False,False,False,False
20.8,6,17,0,0,0.6,False,False,True,False,False,False,False
20.7,6,18,0,1,0.71,True,False,False,False,False,False,False
20.6,6,19,0,0,0.5,False,False,False,False,True,False,False
18.5,6,20,0,0,0.57,False,False,True,False,False,False,False
20.2,6,10,0,1,0.54,True,False,False,False,False,False,False
22.0,6,11,0,1,0.64,True,False,False,False,False,False,False
23.7,6,12,0,0,0.54,False,False,False,False,True,False,False
24.6,6,13,0,0,0.59,False,False,False,False,True,False,False
25.1,6,14,0,1,0.73,True,False,False,False,False,False,False
25.7,6,15,0,1,0.78,True,False,False,False,False,False,False
26.1,6,16,0,1,0.74,True,False,False,False,False,False,False
26.6,6,17,0,0,0.61,False,False,False,False,True,False,False
26.4,6,18,0,0,0.68,False,False,True,False,False,False,False
