datetime,temperature,cloudcover,weathercode,month,day,hour,weekday,weekend,sunny
2024-06-01 00:00:00,14.2,0,0,6,1,0,5,1,1
2024-06-01 01:00:00,13.9,0,0,6,1,1,5,1,1
2024-06-01 02:00:00,12.9,0,0,6,1,2,5,1,1
2024-06-01 03:00:00,11.7,0,0,6,1,3,5,1,1
2024-06-01 04:00:00,10.9,0,0,6,1,4,5,1,1
2024-06-01 05:00:00,10.3,0,0,6,1,5,5,1,1
2024-06-01 06:00:00,10.5,3,0,6,1,6,5,1,1
2024-06-01 07:00:00,12.0,0,0,6,1,7,5,1,1
2024-06-01 08:00:00,16.0,0,0,6,1,8,5,1,1
2024-06-01 09:00:00,19.0,90,3,6,1,9,5,1,0
2024-06-01 10:00:00,21.6,100,3,6,1,10,5,1,0
2024-06-01 11:00:00,23.6,100,3,6,1,11,5,1,0
2024-06-01 12:00:00,24.9,99,3,6,1,12,5,1,0
2024-06-01 13:00:00,25.8,31,1,6,1,13,5,1,0
2024-06-01 14:00:00,26.6,22,1,6,1,14,5,1,0
2024-06-01 15:00:00,27.3,16,0,6,1,15,5,1,1
2024-06-01 16:00:00,27.6,61,2,6,1,16,5,1,0
2024-06-01 17:00:00,27.5,100,3,6,1,17,5,1,0
2024-06-01 18:00:00,26.8,100,3,6,1,18,5,1,0
2024-06-01 19:00:00,24.7,100,3,6,1,19,5,1,0
2024-06-01 20:00:00,21.9,100,3,6,1,20,5,1,0
2024-06-01 21:00:00,20.0,100,3,6,1,21,5,1,0
2024-06-01 22:00:00,19.2,100,3,6,1,22,5,1,0
2024-06-01 23:00:00,18.5,100,3,6,1,23,5,1,0
2024-06-02 00:00:00,17.7,100,3,6,2,0,6,1,0
2024-06-02 01:00:00,17.5,100,3,6,2,1,6,1,0
2024-06-02 02:00:00,17.1,100,3,6,2,2,6,1,0
2024-06-02 03:00:00,16.6,100,3,6,2,3,6,1,0
2024-06-02 04:00:00,16.0,100,3,6,2,4,6,1,0
2024-06-02 05:00:00,15.6,100,3,6,2,5,6,1,0
2024-06-02 06:00:00,15.6,100,3,6,2,6,6,1,0
2024-06-02 07:00:00,16.1,100,3,6,2,7,6,1,0
2024-06-02 08:00:00,17.6,100,3,6,2,8,6,1,0
2024-06-02 09:00:00,18.5,100,3,6,2,9,6,1,0
2024-06-02 10:00:00,21.0,86,3,6,2,10,6,1,0
2024-06-02 11:00:00,24.5,13,0,6,2,11,6,1,1
2024-06-02 12:00:00,26.2,24,1,6,2,12,6,1,0
2024-06-02 13:00:00,27.5,47,1,6,2,13,6,1,0
2024-06-02 14:00:00,28.5,53,2,6,2,14,6,1,0
2024-06-02 15:00:00,28.6,90,3,6,2,15,6,1,0
2024-06-02 16:00:00,26.6,42,1,6,2,16,6,1,0
2024-06-02 17:00:00,26.2,63,2,6,2,17,6,1,0
2024-06-02 18:00:00,26.2,92,3,6,2,18,6,1,0
2024-06-02 19:00:00,25.5,62,2,6,2,19,6,1,0
2024-06-02 20:00:00,23.5,99,3,6,2,20,6,1,0
2024-06-02 21:00:00,19.7,83,51,6,2,21,6,1,0
2024-06-02 22:00:00,19.4,95,51,6,2,22,6,1,0
2024-06-02 23:00:00,18.4,67,2,6,2,23,6,1,0
2024-06-03 00:00:00,18.0,97,3,6,3,0,0,0,0
2024-06-03 01:00:00,18.0,100,3,6,3,1,0,0,0
2024-06-03 02:00:00,17.5,32,1,6,3,2,0,0,0
2024-06-03 03:00:00,17.0,39,1,6,3,3,0,0,0
2024-06-03 04:00:00,16.5,55,2,6,3,4,0,0,0
2024-06-03 05:00:00,16.5,17,0,6,3,5,0,0,1
2024-06-03 06:00:00,15.7,0,0,6,3,6,0,0,1
2024-06-03 07:00:00,17.5,2,0,6,3,7,0,0,1
2024-06-03 08:00:00,19.4,15,0,6,3,8,0,0,1
2024-06-03 09:00:00,22.5,95,3,6,3,9,0,0,0
2024-06-03 10:00:00,22.9,100,3,6,3,10,0,0,0
2024-06-03 11:00:00,23.5,23,51,6,3,11,0,0,0
2024-06-03 12:00:00,25.5,25,51,6,3,12,0,0,0
2024-06-03 13:00:00,26.7,82,51,6,3,13,0,0,0
2024-06-03 14:00:00,27.1,100,3,6,3,14,0,0,0
2024-06-03 15:00:00,28.3,42,1,6,3,15,0,0,0
2024-06-03 16:00:00,29.0,23,1,6,3,16,0,0,0
2024-06-03 17:00:00,28.7,21,1,6,3,17,0,0,0
2024-06-03 18:00:00,28.5,27,1,6,3,18,0,0,0
2024-06-03 19:00:00,26.8,33,1,6,3,19,0,0,0
2024-06-03 20:00:00,24.9,15,0,6,3,20,0,0,1
2024-06-03 21:00:00,22.5,11,0,6,3,21,0,0,1
2024-06-03 22:00:00,21.3,2,0,6,3,22,0,0,1
2024-06-03 23:00:00,20.6,1,0,6,3,23,0,0,1
2024-06-04 00:00:00,20.1,0,0,6,4,0,1,0,1
2024-06-04 01:00:00,19.5,3,0,6,4,1,1,0,1
2024-06-04 02:00:00,19.8,0,0,6,4,2,1,0,1
2024-06-04 03:00:00,19.4,0,0,6,4,3,1,0,1
2024-06-04 04:00:00,17.4,0,0,6,4,4,1,0,1
2024-06-04 05:00:00,17.2,6,0,6,4,5,1,0,1
2024-06-04 06:00:00,17.0,30,1,6,4,6,1,0,0
2024-06-04 07:00:00,18.0,41,1,6,4,7,1,0,0
2024-06-04 08:00:00,20.8,12,0,6,4,8,1,0,1
2024-06-04 09:00:00,23.4,6,0,6,4,9,1,0,1
2024-06-04 10:00:00,26.1,0,0,6,4,10,1,0,1
2024-06-04 11:00:00,27.9,25,1,6,4,11,1,0,0
2024-06-04 12:00:00,28.9,29,1,6,4,12,1,0,0
2024-06-04 13:00:00,30.0,64,2,6,4,13,1,0,0
2024-06-04 14:00:00,30.5,100,51,6,4,14,1,0,0
2024-06-04 15:00:00,30.7,99,51,6,4,15,1,0,0
2024-06-04 16:00:00,30.1,99,51,6,4,16,1,0,0
2024-06-04 17:00:00,29.2,100,3,6,4,17,1,0,0
2024-06-04 18:00:00,28.8,63,2,6,4,18,1,0,0
2024-06-04 19:00:00,26.9,86,51,6,4,19,1,0,0
2024-06-04 20:00:00,24.8,100,3,6,4,20,1,0,0
2024-06-04 21:00:00,22.9,100,51,6,4,21,1,0,0
2024-06-04 22:00:00,22.1,100,3,6,4,22,1,0,0
2024-06-04 23:00:00,22.0,100,3,6,4,23,1,0,0
2024-06-05 00:00:00,21.5,100,3,6,5,0,2,0,0
2024-06-05 01:00:00,20.7,99,3,6,5,1,2,0,0
2024-06-05 02:00:00,20.0,100,3,6,5,2,2,0,0
2024-06-05 03:00:00,19.5,100,3,6,5,3,2,0,0
2024-06-05 04:00:00,19.1,100,3,6,5,4,2,0,0
2024-06-05 05:00:00,18.9,100,3,6,5,5,2,0,0
2024-06-05 06:00:00,18.8,100,3,6,5,6,2,0,0
2024-06-05 07:00:00,19.6,100,3,6,5,7,2,0,0
2024-06-05 08:00:00,21.4,100,3,6,5,8,2,0,0
2024-06-05 09:00:00,20.9,100,53,6,5,9,2,0,0
2024-06-05 10:00:00,23.4,100,51,6,5,10,2,0,0
2024-06-05 11:00:00,23.8,100,53,6,5,11,2,0,0
2024-06-05 12:00:00,25.2,100,51,6,5,12,2,0,0
2024-06-05 13:00:00,24.5,100,61,6,5,13,2,0,0
2024-06-05 14:00:00,25.2,100,63,6,5,14,2,0,0
2024-06-05 15:00:00,25.5,100,51,6,5,15,2,0,0
2024-06-05 16:00:00,22.5,100,63,6,5,16,2,0,0
2024-06-05 17:00:00,22.5,100,53,6,5,17,2,0,0
2024-06-05 18:00:00,24.0,100,3,6,5,18,2,0,0
2024-06-05 19:00:00,22.5,100,53,6,5,19,2,0,0
2024-06-05 20:00:00,22.0,100,3,6,5,20,2,0,0
2024-06-05 21:00:00,22.5,100,51,6,5,21,2,0,0
2024-06-05 22:00:00,22.5,100,3,6,5,22,2,0,0
2024-06-05 23:00:00,22.4,98,51,6,5,23,2,0,0
2024-06-06 00:00:00,22.1,98,3,6,6,0,3,0,0
2024-06-06 01:00:00,22.0,100,3,6,6,1,3,0,0
2024-06-06 02:00:00,21.5,100,51,6,6,2,3,0,0
2024-06-06 03:00:00,21.2,100,51,6,6,3,3,0,0
2024-06-06 04:00:00,20.9,63,2,6,6,4,3,0,0
2024-06-06 05:00:00,20.5,67,2,6,6,5,3,0,0
